nev;orszag;nem;szulev;urido
Svetlana Savitskaya;URS;N;1948;19
Donn F. Eisele;USA;F;1930;10
Story Musgrave;USA;F;1935;53
Anna Lee Fisher;USA;N;1949;7
Philippe Perrin;FRA;F;1963;13
Valeri Kubasov;URS;F;1935;18
William C. McCool;USA;F;1961;15
Yevgeny Khrunov;URS;F;1933;1
Alexander Gerst;GER;F;1976;362
Rakesh Sharma;IND;F;1949;7
Terrence Wilcutt;USA;F;1949;41
Thomas Hennen;USA;F;1952;6
Winston Scott;USA;F;1950;24
Donald Pettit;USA;F;1955;370
Gregory Harbaugh;USA;F;1956;34
George Nelson;USA;F;1950;17
Ronald Evans;USA;F;1933;12
Gregory B. Jarvis;USA;F;1944;0
Ernst Messerschmid;GER;F;1945;7
Jügderdemidiin Gürragchaa;MGL;F;1947;7
John Fabian;USA;F;1939;13
Soichi Noguchi;JPN;F;1965;177
Frank De Winne;BEL;F;1961;198
Edward Lu;USA;F;1963;204
Donald Slayton;USA;F;1924;9
Steven Smith;USA;F;1958;41
Richard Truly;USA;F;1937;8
Catherine Coleman;USA;N;1960;180
Marc Garneau;CAN;F;1949;29
Vasili Lazarev;URS;F;1928;1
Charles Duke;USA;F;1935;11
Franz Viehböck;AUT;F;1960;7
Wubbo Ockels;NED;F;1946;7
Talgat Musabayev;KAZ;F;1951;341
Kent Rominger;USA;F;1956;66
Joseph P. Allen;USA;F;1937;13
Edward White;USA;F;1930;4
Vladimir Shatalov;URS;F;1927;9
Valery Tokarev;RUS;F;1952;199
Richard Mullane;USA;F;1945;14
Vladimir Aksyonov;URS;F;1935;11
Taylor Wang;USA;F;1940;7
Gennadi Manakov;RUS;F;1950;309
Gherman Titov;URS;F;1935;1
Abdul Ahad Mohmand;AFG;F;1959;8
Millie Hughes-Fulford;USA;N;1945;9
Sheikh Muszaphar Shukor;MAS;F;1972;10
Andrei Borisenko;RUS;F;1964;337
Karl Henize;USA;F;1926;7
William S. McArthur;USA;F;1951;224
Paul Lockhart;USA;F;1956;28
Rick Husband;USA;F;1957;25
Stephen G. Bowen;USA;F;1964;40
Sherwood Spring;USA;F;1944;6
Robert D. Cabana;USA;F;1949;37
Luca Parmitano;ITA;F;1976;166
Sally Ride;USA;N;1951;14
Pavel Belyayev;URS;F;1925;1
Clayton Anderson;USA;F;1959;166
Andrew J. Feustel;USA;F;1965;224
Carl Walz;USA;F;1955;230
Boris Morukov;RUS;F;1950;10
Lodewijk van den Berg;USA;F;1932;7
Igor Volk;URS;F;1937;11
David Scott;USA;F;1932;22
James H. Newman;USA;F;1956;43
Janice Voss;USA;N;1956;49
Frederick Gregory;USA;F;1941;18
William Pailes;USA;F;1952;4
Michael P. Anderson;USA;F;1959;24
Ellen S. Baker;USA;N;1953;28
Rex Walheim;USA;F;1962;36
Frank L. Culbertson, Jr.;USA;F;1949;143
Jay C. Buckey;USA;F;1956;15
Jack D. Fischer;USA;F;1974;135
Mary Ellen Weber;USA;N;1962;18
Charles Camarda;USA;F;1952;13
Paul W. Richards;USA;F;1964;12
William B. Lenoir;USA;F;1939;5
Sergei Revin;RUS;F;1966;124
Anton Shkaplerov;RUS;F;1972;533
Scott Kelly;USA;F;1964;521
Ulf Merbold;GER;F;1941;49
Heidemarie Stefanyshyn-Piper;USA;N;1963;27
Richard O. Covey;USA;F;1946;26
Takuya Onishi;JPN;F;1975;115
Vladimir Kovalyonok;URS;F;1942;216
Kenneth Ham;USA;F;1964;25
Yuri Onufrienko;RUS;F;1961;389
William Frederick Fisher;USA;F;1946;7
Nancy Jan Davis;USA;N;1953;28
Jing Haipeng;CHN;F;1966;47
Stephen Oswald;USA;F;1951;33
John Casper;USA;F;1943;34
Joseph A. Walker;USA;F;1921;0
Viktor Patsayev;URS;F;1933;23
Kevin A. Ford;USA;F;1960;157
Joseph Tanner;USA;F;1950;43
Bruce McCandless II;USA;F;1937;13
Patrick Baudry;FRA;F;1946;7
John Grunsfeld;USA;F;1958;59
Mary L. Cleave;USA;N;1947;10
Leonid Kizim;URS;F;1941;374
Naoko Yamazaki;JPN;N;1970;15
Ellen Ochoa;USA;N;1958;40
Paul Scully-Power;USA;F;1944;8
Zhai Zhigang;CHN;F;1966;2
Mamoru Mohri;JPN;F;1948;19
Frederick W. Leslie;USA;F;1951;15
Bonnie J. Dunbar;USA;N;1949;50
Joe H. Engle;USA;F;1932;9
Yuri Baturin;RUS;F;1949;19
Ilan Ramon;ISR;F;1954;15
Oleg Novitskiy;RUS;F;1971;340
Vladimir Solovyov;URS;F;1946;361
Michael T. Good;USA;F;1962;24
James Voss;USA;F;1949;202
Yuri Glazkov;URS;F;1939;17
Georgi Ivanov;BUL;F;1940;1
William Gregory;USA;F;1957;16
Charles Veach;USA;F;1944;18
Wendy Lawrence;USA;N;1959;52
Satoshi Furukawa;JPN;F;1964;167
William E. Thornton;USA;F;1929;13
Michel Tognini;FRA;F;1949;18
Yuri Malyshev;URS;F;1941;11
Timothy Peake;GBR;F;1972;185
Michael Lopez-Alegria;USA;F;1958;258
Loren Acton;USA;F;1936;7
Arnaldo Tamayo Méndez;CUB;F;1942;7
Marcos Pontes;BRA;F;1963;9
Richard Garriott;USA;F;1961;11
Daniel Barry;USA;F;1953;30
Oleg Kotov;RUS;F;1965;526
Roman Romanenko;RUS;F;1971;333
Jerry Linenger;USA;F;1955;143
Wang Yaping;CHN;F;1978;14
Alfred Worden;USA;F;1932;12
Robert Curbeam;USA;F;1962;37
Aleksandr Balandin;URS;F;1953;179
Dmitri Kondratyev;RUS;F;1969;159
Lawrence J. DeLucas;USA;F;1950;13
Aleksei Gubarev;URS;F;1931;37
Gennadi Sarafanov;URS;F;1942;2
Pamela Melroy;USA;N;1961;38
Kenneth D. Cameron;USA;F;1949;23
Curtis Brown;USA;F;1956;58
Neil Armstrong;USA;F;1930;8
David Wolf;USA;F;1956;169
André Kuipers;NED;F;1958;203
Henry Hartsfield;USA;F;1933;20
Robert Parker;USA;F;1936;19
Eugene Cernan;USA;F;1934;23
Barry Wilmore;USA;F;1962;178
Michael Melvill;USA;F;1940;0
Bertalan Farkas;HUN;F;1949;7
Norman Thagard;USA;F;1943;140
Guy Gardner;USA;F;1948;13
Dorothy M. Metcalf-Lindenburger;USA;N;1975;15
Yuri Gidzenko;RUS;F;1962;329
Georgi Beregovoi;URS;F;1921;3
Kjell N. Lindgren;USA;F;1973;141
James McDivitt;USA;F;1929;14
Jim Lovell;USA;F;1928;29
Ulrich Walter;GER;F;1954;9
Alexander Kaleri;RUS;F;1956;769
Vance Brand;USA;F;1931;31
Mae Jemison;USA;N;1956;7
Ni? H?ish?ng;CHN;F;1964;19
Fred Haise;USA;F;1933;5
Byron Lichtenberg;USA;F;1948;19
Anatoli Ivanishin;RUS;F;1969;280
Léopold Eyharts;FRA;F;1957;68
Richard N. Richards;USA;F;1946;33
Shannon Lucid;USA;N;1943;223
Ronald A. Parise;USA;F;1951;25
Maksim Surayev;RUS;F;1972;334
Yuri Romanenko;URS;F;1944;430
Aydyn Aimbetov;KAZ;F;1972;181
Roberta Bondar;CAN;N;1945;8
Ivan Bella;SVK;F;1964;7
Dominic A. Antonelli;USA;F;1967;24
Sergei Ryazanski;RUS;F;1974;304
Frederick Hauck;USA;F;1941;18
Kathryn Sullivan;USA;N;1951;22
Leland D. Melvin;USA;F;1964;23
Jeffrey Hoffman;USA;F;1944;50
Timothy L. Kopra;USA;F;1963;244
